id,camera_name,camera_code,province,city_regency,district,subdistrict,location_name,latitude,longitude,location_accuracy,source_id,source_name,source_url,operator,access_type,stream_type,stream_url,api_endpoint,public_identifier,status,last_checked,timezone,license,terms_of_use,confidence_score,notes
83c90848d50292d5,Jl. Kawi Arah Timur (GKI Bromo),JTM-JL-KAWI-ARAH-TIMUR-GKI-B,Jawa Timur,Kota Malang,KLOJEN,,"Jl. Kawi No.11, RW.3, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia",-7.97929323909,112.62533821228,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/433161038569412405938175.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,433161038569412405938175,ONLINE,2026-09-04T00:20:24+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
bcbfdfbff0f73392,Jl. Kawi Arah Timur.,JTM-JL-KAWI-ARAH-TIMUR,Jawa Timur,Kota Malang,KLOJEN,,"Jalan kawi bawah 4 no 3A, Kauman, Klojen, Malang City, East Java 65116, Indonesia",-7.9782704417049,112.62397772459,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/192932202274819493009134.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,192932202274819493009134,ONLINE,2026-09-04T00:20:23+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
9359a2080708641b,Jl. Kawi Arah barat (SMPN6),JTM-JL-KAWI-ARAH-BARAT-SMPN6,Jawa Timur,Kota Malang,KLOJEN,,"3, Jl. Kawi No.22 A, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",-7.9791369717037,112.62512178637,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/067883214706611879049144.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,067883214706611879049144,ONLINE,2026-09-04T00:20:16+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
d7c493f417691ab7,Jl. Kebalen Wetan Arah Selatan,JTM-JL-KEBALEN-WETAN-ARAH-SE,Jawa Timur,Kota Malang,KEDUNGKANDANG,,"Jl. Kebalen Wetan No.01, Kotalama, Kec. Kedungkandang, Kota Malang, Jawa Timur 65136, Indonesia",-7.989048761795,112.63872368841,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/453382724774773485227390.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,453382724774773485227390,ONLINE,2026-09-04T00:20:27+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
dd0591b00a3f4905,Jl. Kebalen Wetan Arah Timur,JTM-JL-KEBALEN-WETAN-ARAH-TI,Jawa Timur,Kota Malang,KEDUNGKANDANG,,"Jl. Kolonel Sugiono No.1, Mergosono, Kec. Kedungkandang, Kota Malang, Jawa Timur 65118, Indonesia",-7.9939005881375,112.63364104707,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/839830267892971466247721.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,839830267892971466247721,ONLINE,2026-09-04T00:20:26+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
be8d17a599163a2f,Jl. Kedawung Arah Timur,JTM-JL-KEDAWUNG-ARAH-TIMUR,Jawa Timur,Kota Malang,LOWOKWARU,,"Jl. Kalpataru No.94, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",-7.9508745054178,112.63172470939,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/032716732487147302736608.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,032716732487147302736608,ONLINE,2026-09-04T00:20:32+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
031b7ec977903734,Jl. Kertanegara Arah Barat,JTM-JL-KERTANEGARA-ARAH-BARA,Jawa Timur,Kota Malang,KLOJEN,,"Jl. Trunojoyo No.80a, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",-7.9775599677685,112.6366878558,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/231554183770498281450318.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,231554183770498281450318,ONLINE,2026-09-04T00:20:25+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
d091e7a25ebd27f8,Jl. Kesatrian Arah Selatan,JTM-JL-KESATRIAN-ARAH-SELATA,Jawa Timur,Kota Malang,BLIMBING,,"Jl. Simpang Kesatrian No.6, Keduyo, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121, Indonesia",-7.977528818545,112.64345728334,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/031608321985243356752404.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,031608321985243356752404,ONLINE,2026-09-04T00:20:13+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
5b025ee30cf47488,Jl. Kesatrian Arah Utara,JTM-JL-KESATRIAN-ARAH-UTARA,Jawa Timur,Kota Malang,BLIMBING,,"Jl. Simpang Kesatrian No.6, Keduyo, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121, Indonesia",-7.9774600837325,112.64349334693,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/786150212613240322734192.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,786150212613240322734192,ONLINE,2026-09-04T00:20:15+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
032a1f8105c532da,Jl. Ki Ageng Gribig Arah Selatan,JTM-JL-KI-AGENG-GRIBIG-ARAH-,Jawa Timur,Kota Malang,KEDUNGKANDANG,,"Jl. Raya Ki Ageng Gribig No.11, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",-7.9745092328817,112.67245976856,exact,malangkota,Portal CCTV Kota Malang (Diskominfo Kota Malang),https://cctv.malangkota.go.id/sebaran-cctv,Pemerintah Kota Malang,OFFICIAL_PORTAL,HLS,https://cctv.malangkota.go.id/cctv-stream/streams/919248977431029784415723.m3u8,https://cctv.malangkota.go.id/sebaran-cctv,919248977431029784415723,ONLINE,2026-09-04T00:20:25+07:00,Asia/Jakarta,Public monitoring feed,Ditayangkan publik oleh Pemkot Malang untuk pantauan lalu lintas. Tidak untuk redistribusi ulang tanpa izin.,0.95,
